min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
50,3,50,0.34179497248327095,32622,27443,7396,207,104253
50,2,50,0.31536639023802593,31830,26845,7396,220,104253
50,1,50,0.3549204182545854,30725,26621,7397,234,104253
70,45,10,0.2972427985979189,31132,36382,9538,116,104253
60,4,50,0.31875846751354586,33563,27165,7396,169,104253
60,2,50,0.2862950371221767,32756,27024,7396,190,104253
60,1,50,0.3126641062127186,30682,27356,7397,199,104253
60,3,50,0.3038292929158688,32896,27651,7396,179,104253
80,45,10,0.2979775877513872,31346,36382,9538,112,104253
90,45,10,0.29797876831435866,37876,27424,7392,117,104253
70,3,50,0.2956444512000314,33334,27261,7396,159,104253
70,4,50,0.3170406026170091,33956,27306,7396,152,104253
70,1,50,0.2980633903621594,30230,30281,7397,171,104253
70,2,50,0.2589557828793504,31582,29730,7396,162,104253
100,45,10,0.29197769277824176,36751,29329,7392,107,104253
150,45,10,0.29258554094995354,37154,30169,7392,81,104253
80,3,50,0.27323791948816945,33432,27651,7396,145,104253
80,4,50,0.28541963997289654,34246,27712,7396,141,104253
80,2,50,0.28112319750287645,34072,26517,7396,155,104253
80,1,50,0.28047864065665484,30173,30281,7397,153,104253
200,45,10,0.2919760278909318,38361,30169,7392,70,104253
90,3,50,0.2674580558491608,33945,28159,7396,134,104253
250,45,10,0.22424782320446401,39596,29289,6512,65,104253
90,4,50,0.27980134876970164,34428,28091,7396,133,104253
90,2,50,0.28503885346022717,34653,26517,7396,145,104253
90,1,50,0.2902614751808783,33096,26850,7397,149,104253
300,45,10,0.23421997437527053,40197,29825,6512,57,104253
350,45,10,0.23134286476130544,40508,29825,6512,56,104253
100,4,50,0.2745562105724328,34976,28091,7396,121,104253
100,3,50,0.2589044406541914,34477,28159,7396,125,104253
100,2,50,0.2590811772026139,33374,29479,7396,131,104253
100,1,50,0.2715950624141831,33768,26850,7397,139,104253
400,45,10,0.29160554097277036,35576,38559,9538,45,104253
150,4,50,0.26897417942345303,36098,28438,7396,95,104253
150,3,50,0.2626639149176344,35277,28419,7396,96,104253
150,2,50,0.27009769692734775,36457,27242,7396,102,104253
150,1,50,0.2829678938030388,34310,28298,7397,101,104253
450,45,10,0.28369134305334265,36428,38559,9538,43,104253
200,4,50,0.28176951278901935,36510,28438,7396,79,104253
200,3,50,0.25570265753581267,35853,28927,7396,78,104253
200,2,50,0.2479661328958207,35932,29845,7396,79,104253
200,1,50,0.2614759408098898,33452,31972,7397,80,104253
500,45,10,0.2741482189567026,37866,38559,9538,40,104253
250,3,50,0.24841087517771354,37114,28927,7396,70,104253
250,4,50,0.25690382277073115,35419,32281,7396,67,104253
250,2,50,0.23743715600808005,35341,31469,7396,70,104253
250,1,50,0.24580408922890934,35714,30392,7397,72,104253
300,3,50,0.23226344890044515,38163,29798,7396,62,104253
300,4,50,0.23950572153207123,36796,32281,7396,58,104253
300,2,50,0.22276632910630267,36952,31469,7396,63,104253
300,1,50,0.23198700368153338,35784,31972,7397,63,104253
350,3,50,0.2506501150301854,38349,30394,7396,56,104253
350,4,50,0.27735390925032116,37309,32623,7396,53,104253
350,2,50,0.25788660751755194,36759,32259,7396,57,104253
350,1,50,0.24733639927787804,36297,32212,7397,58,104253
400,3,50,0.25324572462181766,39515,30537,7396,50,104253
400,4,50,0.2540126387006516,38788,32676,7396,48,104253
400,1,50,0.2591691305347242,36719,33202,7397,53,104253
400,2,50,0.24313127005307508,33240,40911,10045,47,104253
450,4,50,0.24587189736847795,39643,32676,7396,46,104253
450,3,50,0.3492551905699126,34617,40053,11424,43,104253
500,4,50,0.26387397669446067,41749,33238,7396,39,104253
450,2,50,0.23123498703546727,34489,40911,10045,44,104253
450,1,50,0.22889686709916868,33153,42047,10717,44,104253
500,3,50,0.39586920099089334,36912,40613,11424,37,104253
500,2,50,0.2823394750931474,35157,43327,11012,36,104253
500,1,50,0.28162203575252986,33884,44468,11697,36,104253
