,28.0,24.0,14.0,19.0,10.0,43.0,9.0,33.0,26.0,37.0,35.0,0.0,21.0,42.0,15.0,11.0,30.0,22.0,39.0,5.0,1.0,18.0,2.0,23.0,27.0,13.0,17.0,41.0,12.0,34.0,32.0,3.0,6.0,38.0,25.0,31.0,20.0,4.0,36.0,7.0,40.0,8.0,29.0,16.0
0,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19
1,gobiernodelbulo,estevirusloparamosunidos,leonesp,leonesp,leonesp,españa,españa,estevirusloparamosunidos,estevirusloparamosunidos,cmin,estevirusloparamosunidos,castillayleon,marlaska,leonesp,leonesp,leonesp,marlaska,españa,españa,8m,estadodealarma,yoapoyoalgobierno,estevirusloparamosunidos,estevirusloparamosunidos,leonesp,españa,estadodealarma,leonesp,españa,leonesp,españa,españa,pleno,marlaska,leonesp,marlaska,marlaska,leonesp,yomequedoencasa,leonesp,leonesp,sevilla,españa,estevirusloparamosunidos
2,estevirusloparamosunidos,madrid,motivosparalamocion,8m,estevirusloparamosunidos,leonesp,congreso,psoe,8m,estevirusloparamosunidos,leonesp,españa,burgos,violenciadegénero,españa,españa,leonesp,8m,estevirusloparamosunidos,eutanasia,españa,gobiernodelbulo,leonesp,leonesp,violenciadegénero,leonesp,leonesp,madrid,pleno,españa,estevirusloparamosunidos,ahoratocalucharjuntos,cmin,quédateencasa,8m,pleno,eutanasia,estadodealarma,estevirusloparamosunidos,castillayleon,estevirusloparamosunidos,pleno,galicia,marlaska
3,psoe,marlaska,valencia,agendadiputada,españa,estevirusloparamosunidos,leonesp,ingresominimovital,violenciadegénero,gobiernodelbulo,españa,pleno,pleno,lacafetera,europa,estevirusloparamosunidos,españa,marlaska,leonesp,ibiza,no,streatham,8m,pleno,pedrosánchez,8m,quenadiesequedeatras,estevirusloparamosunidos,estevirusloparamosunidos,ingresominimovital,marlaska,pleno,españa,diadelatierra,vigo,estevirusloparamosunidos,8m,los52devox,gobiernodelbulo,eutanasia,ue,mocionseptiembre,leonesp,fakenews
4,yomequedoencasa,violenciadegénero,españa,congreso,gobiernodelbulo,violenciadegénero,pleno,motivosparalamocion,cmin,leonesp,pleno,agendadiputada,españa,autónomos,marlaska,pleno,yoapoyoalgobierno,psoe,marlaska,vox,ganaderos,londres,pp,españa,estevirusloparamosunidos,estevirusloparamosunidos,galicia,burgos,gobiernodelbulo,pleno,congreso,estevirusloparamosunidos,lugo,leonesp,castillayleon,leonesp,violenciadegénero,españasiempre,leonesp,españa,paro,psicópatas,deporte,diamundialdelmedioambiente
5,violenciamachista,españa,los52devox,ahoratocalucharjuntos,pleno,ahoratocalucharjuntos,marlaska,autodeterminación,autónomos,españa,gobiernodelbulo,8m,sevilla,marlaska,estevirusloparamosunidos,ingresominimovital,gobierno,estevirusloparamosunidos,cmin,díamundialenfermedadesraras,estevirusloparamosunidos,debateobjetivoigualdad,congreso,los52devox,gobiernodelbulo,igualdad,españa,abalos,violenciadegénero,violenciadegénero,estadodealarma,leonesp,galicia,marruecos,ahoratocalucharjuntos,cmin,activemosespaña,ahoratocalucharjuntos,torrelavega,goya2020,marlaska,trump,madrid,voxútil
6,8m,codvid19,sesiondecontrol,segovia,cmin,marlaska,estevirusloparamosunidos,rutaterritorialpp,yoapoyoalgobierno,violenciadegénero,marlaska,eutanasia,faselibertad,estadodealarma,fuertesyunidos,marlaska,gandia,cantabria,gobiernodelbulo,venezuela,gobiernoprogresista,holocausto,alopresidente,pedrosánchez,españa,agricultura,gobierno,fitur2020,leonesp,estadodealarma,gobiernodelbulo,estadodealarma,leonesp,wallstreet,eutanasia,vox,metoo,lgtbi,melilla,investidura,congresodelosdiputados,salvini,leydemovilidadsostenible,cloroquina
7,sánchez,defensa,ingresominimovital,ciudadreal,ingresominimovital,pleno,ahoratocalucharjuntos,fernandosimón,fitur2020,vox,ahoratocalucharjuntos,cantabria,ingresominimovital,felizviernes,cmin,estadodealarma,estevirusloparamosunidos,ávila,sánchez,benidorm,ahoratocalucharjuntos,tarragona,españa,yoapoyoalgobierno,los52devox,violenciadegénero,bastaya,asíno,marlaska,espanaexiste,vigo,sesiondecontrol,sesióndecontrol,díainternacionaldelamujer,estevirusloparamosunidos,socialistas,emergenciaclimática,hilo,vigo,valencia,8m,abascal,transportes,caracazo
8,gobiernodelamentira,mordaza,canarias,españa,violenciadegénero,1demayo,violenciadegénero,sevilla,twitterresponde,pleno,violenciamachista,psoe,violenciadegénero,psoe,pinparental,benidorm,castillayleon,gobiernofake,8m,aplausosanitario,burgos,bande,ahoratocalucharjuntos,pp,8m,pleno,valencia,transparencia,burgos,fitur,leonesp,rutaterritorialpp,euco,altoriesgo,pleno,coronavirusarv,ibex,conclusiones,marlaska,baleares,covid,johnson,violenciadegénero,coronavid19
9,caravanafaselibertad,eutanasia,aplausosanitario,pleno,cantabria,8m,madrid,acuamed,díamundialdelasalud,los52devox,ávila,madrid,mocionseptiembre,justiciasocial,8m,sánchez,violenciadegénero,sesióndecontrol,violenciadegénero,díadeandalucía,estadodealarmacuestiondeestado,casta,bulo,covid,psoe,psoe,estadodeabuso,pleno,estadodealarma,estevirusloparamosunidos,pleno,cmin,unidosyadelante,11m,españa,sesióndecontrol,venezuela,feministasliberales,ahoratocalucharjuntos,rp,barcelona,violenciadegénero,pobreza,dep
10,gandia,8m,aplausosectorterciario,doñana,madrid,congreso,8m,financiación,sestao,agendadiputada,8m,quenadiesequedeatrás,motivosparalamocion,españa,democraciaparticipativa,fuertesyunidos,sesiondeinvestidura,málaga,pleno,sevilla,elbalance,solidaridad,gobiernogranhermano,castillayleon,estadodealarma,cmin,segovia,alópresidente,igualdad,gobiernodelbulo,gandia,responsabilidad,republica,sanidad,autónomos,congreso,preguntasparlamentarias,felizjueves,pp,pr2017,agendadiputada,violenciamachista,mujeres,sesióndeinvestidura
11,felizmartes,granada,fed,estevirusloparamosunidos,psoe,madrid,cmin,ilegal,solosíessí,ingresominimovital,castillayleon,aprendemosencasa,ibex,motivosparalamocion,pleno,gobiernodelbulo,equiparacionya,yomequedoencasa,madrid,socialistas,benidorm,estevirusloparamosunidos,marlaska,galiciaesverde,pleno,diálogosocial,motivosparalamocion,ingresomínimovital,congreso,burgos,ibex,violenciadegénero,clm,ciudadreal,marlaska,pinparental,abalos,quedateentucasa,faselibertad,page,pleno,sahara,pandemia,aplausocolectivo
12,itx,españoles,unidosyadelante,unidaspodemos,8m,estadodealarma,europa,psoeres,bildueseta,cantabria,pp,galicia,gredos,mujerporencimadetodo,gobiernodelbulo,motivosparalamocion,los52devox,pp,covid,cultura,4febrero,40aniversario,ilpjusapol,españapuede,voxextremanecesidad,equipoarrimadas,sisepuede,conciliación,madrid,cantabria,violenciadegénero,agendadiputado,delcygate,8m,quedateencasa,fakenews,baleares,laika,iftasarte,irak,fuertesyunidos,industria,tomasmeabe,comisióndesanidad
13,brexit,leonesp,ilovetwitter,españaexiste12e,agendadiputada,vigo,pinparental,oltra,holocausto,yomequedoencasa,quedateencasa,twitterresponde,sánchez,estevirusloparamostodos,ahoratocalucharjuntos,violenciamachista,españasiempre,quenadiesequedeatrás,fuertesyunidos,sectarismo,mujeres,quédateencasa,barcelona,g20,investidura,fitur2020,theyoungpope,ávila,estadodeabuso,motivosparalamoción,sanidad,brexit,pp,apoyoaisaserra,14legislatura,resiliencia,delcygate,luna,paro,jornadascovap2020,asino,congresodelosdiputados,orgullosa,profesionalessanitarios
14,equiparacionya,ministeriodelaverdad,coronaciao,europa,motivosparalamocion,ue,casado,compromís,cáncer,ábalos,violenciadegénero,confinamiento,ábalos,lanochedeavilatecuida,lonuestroprimero,8m2020,madrid,gobierno,pp,gijón,quédateencasa,alquiler,empleo,sosautónomos,felizmartes,aragón,wallsreet,8m2020,marlaskadimision,pgedeemergencia,paro,los52devox,covid19esp,porespaña,cuidadospaliativos,graciasabascal,josémujica,ruralizate,empleo,gloria,españa,familia,consejodeministros,debatedeinvestidura
15,campanillas,psoe,sesióndecontrol,estadodealarma,estadodealarma,gobiernodelbulo,castillayleon,abuso,colombia,gobiernofake,los52devox,gobiernodelbulo,maduro,ávila,quenadiesequedeatras,psoe,burgos,covid,mocionseptiembre,premios,sanchezvendeespana,yomequedoencasa,epa,mateyelaporte,preguntasparlamentarias,referendum,hilo,9m,ingresominimovital,saharaoccidental,fitur2020,sesióndecontrol,fitur2020,espanasiempre,sesióndeinvestidura,díadelperiodista,uruguay,sanchezvendeespana,elconveniodelaigualdad,mediterráneo,sevilla,sesiondeinvestura,unidaspodemos,investidurasánchez
16,pagedimision,euskadi,guaidóenmadrid,plenocongreso,ciudadreal,pp,transparencia,marido,sánchezvendeespaña,sesióndecontrol,ue,burgos,feve,8m2020,abalosdimision,ciudadreal,pleno,leonesp,ue,lolapuntes,cercanías,madrid,abalosdimision,coronavid19,ávila,delcygate,sanchismo,abalosdimisión,mocionseptiembre,vox,gobierno,igualdad,democracia,paisvascoenel,fitur2020,arrozalhorno,gobierno,aplausosanitario,díainternacional,yomequedoencasa,valladolid,atocha,protejamosespaña,agricultores
17,xivlegislatura,1demayo,consejodeministros,ingresominimovital,igualdad,autónomos,estadodealarma,menor,caracas,investidura,santander,gobiernogranhermano,daimiel,xacobeo21,venezuelalibre,castillayleon,covid__19,cambioclimatico,gobierno,igualdad,167valientes,techspiritbarcelona,borrascagloria,renta,vox,trata,running,asturias,violenciamachista,investiduradelavergüenza,eutanasia,ingresominimovital,elfinaldeeta,twitterresponde,investidura,heroesrurales,extremadura,estevirusloparamosunidos,abalosgate,noteríasqueespeor,euco,goya2020,manada,ganaderos
18,pedrosánchez,españaquieretrabajar,sanidad,marlaskadimision,asíno,psoe,activemosespaña,cristinanarbona,díainternacionalasperger,galicia,sánchez,covid__19,salvemoslastablas,funcionariosprisiones,autónomos,galicia,sesióndecontrol,díamundialdelaradio,galicia,psoe,cantabria,murcia,gobierno,stopbulos,ciencia,funcionariosdeprisiones,bandemola,talavera,sesióndecontrol,díadeandalucía,violenciamachista,vigo,voxvotoútil,xvdelleón,estadodealarma,tamayazo,santander,sendadefuturo,psoe,gracias,premiosfsg2019,consejomunicipal,prohibidodespedir,quedateentucasa
19,coronavirusesp,estadodealarma,quédateencasa,cmin,euco,cantabria,lonuestroprimero,8m,castillayleon,políticaútil,ciudadreal,comparecencia,política,estevirusloparamosunidos,psoe,pp,vox,delcygate,los52devox,elche,georgia,elvioladorerestu,faselibertad,aytomachacon,violenciadegenero,sánchez,covid19eeuu,julianassange,abalos,infraestructuras,madrid,fulldemocracy,españaexiste,roma,laalternativa,ávila,juancarloscampo,cs,ddhh,stasidigital,funcionariosdeprisiones,trendeladignidad,educación,felizlunes
20,violenciadegenero,podemos,congresonáutico,leydeeducación,abalosdimision,galicia,violenciamachista,palencia,quenadiesequedeatrás,psoe,psoe,cmin,violenciadegenero,axendagalega,leyeutanasia,violenciadegénero,huesca,abalos,españaexiste,nacional,abascal,coronavirusesp,burgos,8m,leyeutanasia,interparlamentariapp,yaencasa,izquierda,sánchez,gasto,8m,lawfare,los52devox,enero2020,voxextremanecesidad,agendaprogresista,feminismo,educación,quedateencasa,felizjueves,autozascas,niunpasoatrás,pinparental,fuerzaespaña
21,constitucion,sesióndecontrol,viviendadigna,8m2020,marlaska,fuertesyunidos,cantabria,otgala5,yomequedoencasa,protejamosespaña,cmin,turismo,empleo,economía,los52devox,porespaña,alopresidente,investiduradelavergüenza,yoapoyoalgobierno,pp,investidurisima,santiagodelteide,activemosespaña,comisióndesanidad,diainternacionaldelamujer,agendagalicia,santiagodimisión,premiosodeon,psoe,inversión,gracias,ree,españanoesunmito,españaexiste,congreso,asíno,humanidad,noalpinparental,vamosbenidorm,estevirusloparamosunidos,delcygate,igualdad,quedateencasa,pucherazo
22,violenciadegénero,cantabria,códigopenal,fed,quedateencasa,cmin,autónomos,sansebastian,galicia,quedateencasa,agendadiputada,sesióndecontrol,inacción,coronavid19,funcionariosdeprisiones,yoapoyoalgobierno,venezuela,venezuela,ahoratocalucharjuntos,diainternacionaldelaeducacion,hoy,fitur2020,violenciadegénero,ardales,cuenca,diadelamujer,seguridadsocial,comitédeseguimiento,fitur2020,datos,españasiempre,teletrabajando,carreradelosvalientes,teruelexiste,podemos,pageábreloya,8marzo,mutilaciongenitalfemenina,soñemos,11marzo,laespañasolidaria,adoptanocompres,sanidadpublica,28fnadaquecelebrar
23,niunamás,8marzo,cataluña,triplebajadadeimpuestos,españasiempre,sesiondeinvestidura,galiciaémoito,tamborrada2020,lugo,sáhara,covid,agricultores,coronavirusespana,gandia,apocalíptico,albacete,pinabascal,ábalosdimisión,estadodeabuso,fes,diaeuropeovictimasterrorismo,investidura,grammys,psoealaderiva,sesióndecontrol,migraciones,pp,frenarlacurva,valencia,intermunicipal,twitterresponde,yomequedoencasatrabajandooestudiando,protejamosespaña,orgullodepaís,sesióndecontrol,pagedimite,soyfeministaporque,memoriahistórica,aporlafinal,atocha,comisiondeseguimiento,democraciaparticipativa,pedrosanchezpresidente,porespaña
24,niunamenos,diainternacionaldelamujer,españavaciada,nutriescore,burgos,ciudadreal,vox,prohibidodespedir,santander,sánchez,canarias,agricultura,leonsp,xeraco,niunamenos,ibiza,díainternacionaldelamujer,mujeres,motivosparalamocion,violenciadegénero,ávila,porunacoalicionprogresista,ibex,lugo,málaga,devolucionesencaliente,interior,cuidadospaliativos,8m,daimiel,agricultores,abalosdimisión,vox,fulldemocracy,ibiza,ábalosdimisión,aplausosanitario,leydeeutanasia,innovación,lasppperlas,autónomos,impuestos,paro,españasiempre
25,8m2020,torrausurpador,despoblación,ávila,sánchez,santander,abalosdimision,díameteorológicomundial,pedrosánchezpresidente,asino,plenocongreso,motivosparalamoción,autónomos,23f,sanidad,plenocongreso,equipoarrimadas,semanasanta2020,república,sesiondeinvestura,voxconelcampo,libres,valencia,santander,yoapoyoalgobierno,ddhh,martinlutherkingday,venezuelalibre,pp,ciudadreal,ddhh,covi19,xivlegislatura,concepciónarenal,clm,retoporlapaz,fuerzaespaña,chequeescolar,gandia,arrierito,empleo,lacaramasduraqueelcemento,covid,zaragoza
26,galicia,coparey2020,cantabria,soria,sanchezveteya,yoapoyoalgobierno,baleares,martinlutherkingjr,turismo,pedrosanchez,sesióndeinvestidura,resistecantabria,11m,miguelhernández,burgos,funcionariosdeprisiones,gregorioordoñez25años,eutanasia,estevirusloparamosjuntos,unidaspodemos,auschwitz75,cooperacioninternacionalparaeldesarrollo,feriagrancanariamegusta,codvid19,zaragoza,quedateencasa,violenciadegénero,asínopedro,vox,compromisoporespaña,activemosespaña,toledo,forever,unión,pedrosánchez,payuelos,findespidoporbaja,porespaña,leónesp,violenciamachista,desgobierno,feminista,quédateencasa,automóvil
27,rural,abalosdimision,alzheimer,zamora,gobiernogranhermano,burgos,agricultores,extremanecesidad,gastronomía,málaga,abalosdimisión,residenciasdemayores,votarésí,alarma,sánchez,nadiesequedaatrás,tremendo,alicante,valencia,reyesmagos,1917movie,eutanasia,sesióndecontrol,diálogo,santander,quédateencasa,juntadeportavoces,aingresosceroimpuestoscero,valladolid,alicante,ue,sanidad,ollano,premiosqcomes,ingresomínimovital,castillayleon,sesióndeinvestidura,madrid,feliz8m,legislatura,descoordinación,11m,agendadiputada,quedateencasa
28,terrassa,rutaterritorialpp,massagué,clm,ávila,sánchez,ganaderos,feroz2020,mequedoencasa,casado,investidura,bankia,santander,ue,castillayleon,mocionseptiembre,ábalos,prevaricar,presidente,graciasanuestrostrabajadores,disialohortera,agendadiputada,ávila,colaboración,covid,coranovirus,goya2020,espabile,benidorm,alacant,preguntasparlamentarias,iglesias,laespañaquequieres,cancerinfantil,coronavirusarv,11m,aborto,compañerosyamigos,autónomos,fuerzaespaña,quenadiesequedeatras,gobiernodelpueblo,alcazardesanjuan,agendadiputada
29,cantabria,investidura,yomequedoencasa,debateinvestidura,lugo,alicante,compromís,familia,nosonvacaciones,activemosespaña,república,covid,justiciasocial,competitividad,faselibertad,8m,abalosdimision,nacional,psoe,leylibertadsexual,8m,plenocontrol,8m2020,ccaa,huesca,spain,wuhan,quédateencasa,asíno,gobierno,vitoria,culturaespañola,8m,soloelpueblosalvaalpueblo,marmenor,coronavid19,agendadiputada,sosautonomos,167valientes,alópresidente,radicalidad,pedrosánchezpresidente,plenocongreso,premiosigualdadbizkaia
30,bastaya,fakesanchez,techspiritbarcelona,uefa,autónomos,igualdad,libertad,españaexiste,emergenciasanitaria,ingresomínimovital,violenciadegenero,xivlegislatura,estatutodelostrabajadores,esperpentodemocrático,educación,diainternacionaldelamujer,toledo,puertadelsol,sanchez,solosíessí,mujer,fútbolfemenino,ourense,democracia2019,ahoratocalucharjuntos,167valientes,parlamentoabierto,responsabilidad,asino,supermercados,sosautónomos,cáncer,ultimahora,bajezamoral,vox,quedateencasa,lunescompleto,agendadioutada,obarco,yasítodo,28f,167valientes,valencia,zirgarisariak
31,catalunya,sanchezvendeespaña,fórumeuropa,copadelareina,quenadiesequedeatras,vox,investidura,congreso,pensionesminimas,theyoungpope,cantabria,premioselmundo,zamora,memoriahistórica,galicia,sesióndeinvestidura,talavera,juanguaido,cantabria,machismomata,niña,españa,entroido,jaén,entretodos,nosepodíasaber,twitterresponde,sacrificio,palencia,cmin,pib,nivelazo,venceryconvencer,parlamento,motivosparalamoción,socialcomunista,leyeutanasia,campañaacoso,valdeorras,venezuela,díamundialdelaradio,encasa,estevirusloparamosunidos,loquehayqueoir
32,trendeladignidad,yomequedoencasa,andalucía,futfem,bastaya,bastaya,equiparacionya,gobiernoprogresista,enlaspeoresmanosposibles,delcygate,españaexiste,navarra,recordamos,fuckvox,eldebateetb,fitur,pinochosánchez,autonomosabandonados,gobiernoprogresista,cadenasfeministas,ciencia,sánchezpagalasnóminas,meco,quédateencasa,ciudadreal,premioddhh2019,28fnadaquecelebrar,solidaridad,covid,tasatobin,claracampoamor,corredormediterráneo,utiel,asturias,diadelperiodista,ap9,covid,felizviernes,ourense,pesaj,miguelhernández,videollamada,fp,ahoratocalucharjuntos
33,sevilla,fcse,zaragoza,sanitarios,santander,agricultura,horadelplaneta,yoapoyoalgobierno,coronovirus,superheroesdelbarrio,igualdad,nafarroa,terror,igualdadsalarial,españadigital2025,abalosdimision,estadodealarma,plenosenado,desescalada,espanaviva,igualdad,gobierno,troteiros,twitterresponde,clm,enportada,parásitos,vera,quédateencasa,tasagoogle,stopenchufados,lugo,comisióndesanidad,malick,ustedseñora,galicia,oposiciondesleal,fuertesyunidos,xivlegislatura,ahoratocalucharjuntos,investidura,comisionseguimiento,sesiondecontrol,díadelaatenciónprimaria
34,europa,ausopen,solemneacto,libertad,167valientes,agendadiputada,salvavidas,equiparacionya,españaviva,covid19esp,sanchezveteya,quedateentucasa,pinparental,españaexiste,motivosparalamocion,objetivoabalos,comisión,ataquines,burgos,salvemcineciutat,desarrollo,sesióndecontrol,benidorm,debateinvestidura,asino,sanidad,joker,almeria,eutanasia,14legislatura,díaeuropeodelasaludsexual,escudosocialcoronavirus,leónesp,baltasardeveritat,coronaciao,ccaa,estevirusloparamosunidos,psoefraga,sesióndeinvestidura,pp,coronavirusespana,fcse,díadellibro,estadodealarma
35,sesióndecontrol,mujeres,27enero,sánchez,plenocongreso,pedrosánchez,pedrosánchez,objetivoábalos,laalternativa,sentidiño,congreso,prevaricacion,8m,miercolesdeceniza,ue,madrid,consumo,quedateencasa,activemosespaña,apesardeellos,futuro,fcse,córdoba,sesiondeinvestidura,albacete,pastoriza,agenda2030,felizdiadelpadre,santander,diputaciónpermanente,diamujeryninaenciencia,leydeeducación,siempreigual,los52devox,nivirusnicorona,ubeda,ineficacia,25deabril,violenciadegénero,pagemiente,covid19espana,estevirusloparamosunidos,eeuu,oposiciondesleal
36,plenosenado,valledealcudia,8m,quedateencasa,voxextremanecesidad,sesióndecontrol,quedateencasa,los52devox,podemosciao,quedateentucasa,madrid,vox,delcyrodríguez,tradiciones,agendaparaelreencuentro,democracia,coronarvirus,pac,europa,laalternativayovoy,porespaña,leonesp,psoe,asíno,congreso,lugo,17ods,8m,europa,sevilla,agricultoresallímite,diputaciónpermante,lasderechas,plenocongreso,erregeakanpora,baeza,empresas,desescalada,fakenews,congreso,pedrosánchezpresidente,autónomosabandonados,covidus,lacafetera
37,gobierno,quenadiesequedeatrás,puigdemondaprision,calima,pinparental,caravanagobiernodimision,murcia,cuenca,graciaspapá,venezuela,agricultura,comitédeseguimiento,abalosdimision,gracias,wallstreet,ábalosdimisión,ciudadreal,sarria,motivosparalamoción,vistalegrevox,telesánchez,castillayleon,pedrosánchez,pedrosanchez,lonuestroprimero,bastaya,solosíessí,valencia,agendadiputado,terrassa,ceatletismopc,transportistas,lamentable,sectorprimario,francoland,pingüinos2020,díapueblogitano,1mayo,assange,pleno,igualdad,volver,1demayo,congreso
38,agricultores,salud,barcelona,viento,pp,investidura,gobiernodimision,educationday,felizdiadelpadre,pinparenteral,eldebateetb,carlossainzpremioprincesa,eutanasia,sisepuede,fed,objetivoábalos,violenciadegenero,debatedeinvestidura,calahorra,unesco,diamundialdelautismo,casado,rajoy,unsiparaavanzar,cmin,castellón,abalosdimision,ue,cambioclimático,comercio,ourense2020,prudencia,ahoratocalucharjuntos,horadevèncer,iglesias,mequedoencasa,ecologia,huesca,plandechoquesocial,sesiondecontrol,diamundialdelapoesia,ávila,díadeltrabajo,ciudadreal
39,ganaderos,jaca,españasiempre,grammys,castillayleon,cambioclimático,pp,diainternacionaldelaeducacion,centroespañoldequeens,pageábreloya,euco,elmejorhoteldebenidorm,notengoduda,stopleyabusospoliciales,temporal,gobierno,lapuebladealmoradiel,nuevaeconomiaforum,ávila,radio,l6ctucasamesuena,burgos,autónomos,workingday,eldebateetb,santander,laquenosespera,derecha,energía,estadosunidos,discapacidad,escaño1310,agendadiputada,gobiernodelbulo,delcygate,permanezcoencasa,salud,6mayo,espanaexiste,lomloe,violenciadegenero,agendadiputada,alopresidente,chernóbil
40,lagalliguera,parador,yoapoyoalgobierno,pensionistas,activemosespaña,covid,clm,educacion,lodequédateencasa,zaldibar,alicante,abalos,yoconinés,feriainternacionalmodaflamencamalaga,talentoparaelfuturo,sesiondeinvestidura,empleo,sanitarios,investidura,impuestos,fuertesyunidos,memoria,pnl,fuerzaespaña,sísepuede,siempre,investidurasanchez,14legislatura,holocausto,resiliencia,sánchezvendeespaña,teletrabajo,cooperación,desescalada,espaciosinfronteras,constitución,digitalización,planb,twitterresponde,gobiernogranhermano,alarma,migraciones,burgos,escudosocial
41,océano,baiona,taldiacomohoy,lugo,ingresomínimovital,aplausosanitario,alopresidente,violenciadegénero,smi950,rutaterritorial,diamundialsindromedown,almorox,violenciamachista,moda,solemneapertura,almeria,desaparecido,violenciadegénero,safor,sucesos,quenoteengañeladerecha,voxmitivox,estadodealarma,gloria,sisepuede,conganas,pinparentalya,ejemplaridad,los52devox,rendircuentas,exámenes,virus,asíno,contigoencasa,aperitivo,fútbol,alarmanacional,sánchez,niunamenos,malaga,pornografía,díadeandalucía,diadelamadre,escándalos
42,fronterasdelconocimiento,lugo,antoniomachado,xivlegislatura,lonuestroprimero,quédateencasa,sanchezmiente,transparencia,voxextremanecesidad,paísvasco,acuerdo,lehendakari,vizcaya,arte,14legislatura,cacerolada,matés,14legislatura,santander,guardiacivil,manifestaciónonline8a,agendadiputado,salvarvidas,rajyle,cambioclimático,joséluiscuerda,unpactoporelcampo,astridconde,porespaña,plenocongreso,mossos,fridaysforfuture,gobiernodelbulo,reflexionemos,quenadiesequedeatrás,santacoloma,sanchezveteya,psoe,nosqueremosvivas,mdtalmodóvar,prostitución,28f40años,3demayo,diadeeuropa
43,chile,ideagalicialab,buloparental,frenarlacurva,8m2020,valencia,agendadiputado,fuertesyunidos,españaexiste,getxo,yomequedoencasa,rondanorte,vox,huelva,concordia,educación,psoe,vox,feminismo,olivar,pp,somos70porcento,rp,vote,smi,transporte,unidaspodemos,angeladavis,informesemanal,educacionadistancia,abalosgate,pib,murakami,imprescindible,calahorra,mujeres,rentaminima,gobiernodelbulo,cpac2020,coronapijos,elsextosentido,ciencia,convencióndiscapacidad,unañosinalfredo
44,leylibertadsexual,rural,pinparental,frenalacurva,ourense,oliva,iglesiasveteya,quedateencasa,granada,bizkaia,sanidad,oviedo,axarquia,andalucía,sanchez,gobiernoprogresista,eres,patriotismocivico,igualdad,fuertesyunidos,trabajodesdecasa,forabolsonaro,pr17,sananton2020,zaldibar,ganadería,sectorprimario,vox,pedrosanchez,lanoche24h,baixalimiaxurés,europa,españaquieretrabajar,sostenibilidad,solemneapertura,eutanasia,pavosreales,granada,laalternativayovoy,cayeborroka,verín,universidad,libertaddeprensa,grancanaria
45,graciaspapá,sesióndeinvestidura,vox,rrii,quédateencasa,gobierno,sanchezveteya,gobiernodelbulo,espanaexiste,fernandosimón,aplausosanitario,comisiondesanidad,crisissanitaria,porespaña,ascazo,congreso,congresodelosdiputados,agendadiputado,vigo,pymes,trabajador,ingresominimovital,hijosdesanluis,ong,ffccss,pesca,spain,fuerzaespaña,síperono,libres,ruralizate,leylibertadsexual,felizlunes,delagranjaalamesa,ábalos,voxextremanecesidad,díadelaenfermería,térmicadeandorra,crisisdegob,estadodealarma,adif,españaquieretrabajar,lealtad,fase1
46,casoere,machismomata,legislatura,feministas,democracia,granada,gobiernodelbulo,diariosdecuarentena,solosiessi,hoteles,partidopopular,violenciadegenero,cmin,españasiempre,saldremos,vigo,estabilidadpresupuestaria,emergenciaclimatica,gracias,autonomos,moncloa,gente,defensa,agendadiputada,funcionariosprisiones,vigo,ahoratocalucharunidos,8mlaalternativa,díamundialdelasalud,granada,abalos,patriotismo,felizsemana,biodiversidad,plagiador,voxvotoútil,turismo,lamejorlección,sesióndecontrol,sanchezdimision,porriño,dudarae,unidad,agricultura
47,nohablesenminombre,santander,díamundialautismo,tomásmeabe,granada,lacafetera,burgos,leonesp,workingday,quintosdemora,valencia,ciudadreal,ayuso,debateinvestidura,comisiondeseguimiento,lacafetera,techodegasto,smi,funcionariosdeprisiones,twitter,spain,pedrosanchez,sanchezvendeespaña,trabajo,robles,vialia,congreso,espanaexiste,ahoratocalucharjuntos,vistalegreiii,ábalos,amoraespaña,stopleycelaa,lonuestroprimero,mentiras,infancia,hosteleria,activemosespaña,ppvoxcs,ingresominimovital,granada,sanchez,apoyo,pesca
48,igualdadreal,agricultores,tea,santa_pola,pensiones,twitterresponde,valladolid,otrobulo,retiro,4t2019,nacional,díadeandalucía,noloverasenlatv,carmenolmedo,ábalos,elkarrekinpodemos,cis,retroactivo,sesióndeinvestidura,saludyrepublica,pactosdelareconstrucción,baleares,sesiondeinvestidura,migraciones,abalosgate,sansebastián,castillayleon,espananoesunmito,todos,laalternativa,funcionariosdeprisiones,murcia,acuerdosocial,zp,falsedades,adolescencia,asíno,izquierda,jscacasa,plenocongreso,escaño1308,acuerdosocial,lacafetera,ue
49,laalternativa,ganaderos,constituciónespañola,agricultura,gobierno,los52devox,covid__19,cine,rip,ine,agricultores,28f40años,dimisionya,pacha,coiv_19,laalternativa,cov,pinparental,gloria,autónomos,nosmienten,españateespera,lagirasequedaencasa,despoblación,sanchismo,smi950,castillayleón,desdelaatalaya,justicia,iva,gobiernodelamentira,pinparental,cafételemáticocs,venezuela,fiscalíageneraldelpsoe,los52devox,ahorarepública,ingresomínimovital,lorca,telemático,nicaragua,gobiernodimision,cultura,mascarilla
